season,team,opening_caller_id,opening_hc_id,closing_caller_id,closing_hc_id,historical_primary_caller_id,pc_within_season_change,hc_within_season_change,prev_closing_caller_id,prev_closing_hc_id,pc_changed_entering,hc_changed_entering,prior_season_pc_changed_within,prior_season_hc_changed_within
1999,ARI,,vince_tobin,,vince_tobin,,0,0,,,,,,
1999,ATL,,dan_reeves,,dan_reeves,,0,0,,,,,,
1999,BAL,,brian_billick,,brian_billick,,0,0,,,,,,
1999,BUF,,wade_phillips,,wade_phillips,,0,0,,,,,,
1999,CAR,,george_seifert,,george_seifert,,0,0,,,,,,
1999,CHI,,dick_jauron,,dick_jauron,,0,0,,,,,,
1999,CIN,,bruce_coslet,,bruce_coslet,,0,0,,,,,,
1999,CLE,,chris_palmer,,chris_palmer,,0,0,,,,,,
1999,DAL,,chan_gailey,,chan_gailey,,0,0,,,,,,
1999,DEN,,mike_shanahan,,mike_shanahan,,0,0,,,,,,
1999,DET,,bobby_ross,,bobby_ross,,0,0,,,,,,
1999,GB,,ray_rhodes,,ray_rhodes,,0,0,,,,,,
1999,IND,,jim_mora,,jim_mora,,0,0,,,,,,
1999,JAX,,tom_coughlin,,tom_coughlin,,0,0,,,,,,
1999,KC,,gunther_cunningham,,gunther_cunningham,,0,0,,,,,,
1999,LA,,dick_vermeil,,dick_vermeil,,0,0,,,,,,
1999,LAC,,mike_riley,,mike_riley,,0,0,,,,,,
1999,LV,,jon_gruden,,jon_gruden,,0,0,,,,,,
1999,MIA,,jimmy_johnson,,jimmy_johnson,,0,0,,,,,,
1999,MIN,,dennis_green,,dennis_green,,0,0,,,,,,
1999,NE,,pete_carroll,,pete_carroll,,0,0,,,,,,
1999,NO,,mike_ditka,,mike_ditka,,0,0,,,,,,
1999,NYG,,jim_fassel,,jim_fassel,,0,0,,,,,,
1999,NYJ,,bill_parcells,,bill_parcells,,0,0,,,,,,
1999,PHI,,andy_reid,,andy_reid,,0,0,,,,,,
1999,PIT,,bill_cowher,,bill_cowher,,0,0,,,,,,
1999,SEA,,mike_holmgren,,mike_holmgren,,0,0,,,,,,
1999,SF,,steve_mariucci,,steve_mariucci,,0,0,,,,,,
1999,TB,,tony_dungy,,tony_dungy,,0,0,,,,,,
1999,TEN,,jeff_fisher,,jeff_fisher,,0,0,,,,,,
1999,WAS,,norv_turner,,norv_turner,,0,0,,,,,,
2000,ARI,,vince_tobin,,dave_mcginnis,,0,1,,vince_tobin,,0.0,0.0,0.0
2000,ATL,,dan_reeves,,dan_reeves,,0,0,,dan_reeves,,0.0,0.0,0.0
2000,BAL,,brian_billick,,brian_billick,,0,0,,brian_billick,,0.0,0.0,0.0
2000,BUF,,wade_phillips,,wade_phillips,,0,0,,wade_phillips,,0.0,0.0,0.0
2000,CAR,,george_seifert,,george_seifert,,0,0,,george_seifert,,0.0,0.0,0.0
2000,CHI,,dick_jauron,,dick_jauron,,0,0,,dick_jauron,,0.0,0.0,0.0
2000,CIN,,bruce_coslet,,dick_lebeau,,0,1,,bruce_coslet,,0.0,0.0,0.0
2000,CLE,,chris_palmer,,chris_palmer,,0,0,,chris_palmer,,0.0,0.0,0.0
2000,DAL,,dave_campo,,dave_campo,,0,0,,chan_gailey,,1.0,0.0,0.0
2000,DEN,,mike_shanahan,,mike_shanahan,,0,0,,mike_shanahan,,0.0,0.0,0.0
2000,DET,,bobby_ross,,gary_moeller,,0,1,,bobby_ross,,0.0,0.0,0.0
2000,GB,,mike_sherman,,mike_sherman,,0,0,,ray_rhodes,,1.0,0.0,0.0
2000,IND,,jim_mora,,jim_mora,,0,0,,jim_mora,,0.0,0.0,0.0
2000,JAX,,tom_coughlin,,tom_coughlin,,0,0,,tom_coughlin,,0.0,0.0,0.0
2000,KC,,gunther_cunningham,,gunther_cunningham,,0,0,,gunther_cunningham,,0.0,0.0,0.0
2000,LA,,mike_martz,,mike_martz,,0,0,,dick_vermeil,,1.0,0.0,0.0
2000,LAC,,mike_riley,,mike_riley,,0,0,,mike_riley,,0.0,0.0,0.0
2000,LV,,jon_gruden,,jon_gruden,,0,0,,jon_gruden,,0.0,0.0,0.0
2000,MIA,,dave_wannstedt,,dave_wannstedt,,0,0,,jimmy_johnson,,1.0,0.0,0.0
2000,MIN,,dennis_green,,dennis_green,,0,0,,dennis_green,,0.0,0.0,0.0
2000,NE,,bill_belichick,,bill_belichick,,0,0,,pete_carroll,,1.0,0.0,0.0
2000,NO,,jim_haslett,,jim_haslett,,0,0,,mike_ditka,,1.0,0.0,0.0
2000,NYG,,jim_fassel,,jim_fassel,,0,0,,jim_fassel,,0.0,0.0,0.0
2000,NYJ,,al_groh,,al_groh,,0,0,,bill_parcells,,1.0,0.0,0.0
2000,PHI,,andy_reid,,andy_reid,,0,0,,andy_reid,,0.0,0.0,0.0
2000,PIT,,bill_cowher,,bill_cowher,,0,0,,bill_cowher,,0.0,0.0,0.0
2000,SEA,,mike_holmgren,,mike_holmgren,,0,0,,mike_holmgren,,0.0,0.0,0.0
2000,SF,,steve_mariucci,,steve_mariucci,,0,0,,steve_mariucci,,0.0,0.0,0.0
2000,TB,,tony_dungy,,tony_dungy,,0,0,,tony_dungy,,0.0,0.0,0.0
2000,TEN,,jeff_fisher,,jeff_fisher,,0,0,,jeff_fisher,,0.0,0.0,0.0
2000,WAS,,norv_turner,,terry_robiskie,,0,1,,norv_turner,,0.0,0.0,0.0
2001,ARI,,dave_mcginnis,,dave_mcginnis,,0,0,,dave_mcginnis,,0.0,0.0,1.0
2001,ATL,,dan_reeves,,dan_reeves,,0,0,,dan_reeves,,0.0,0.0,0.0
2001,BAL,,brian_billick,,brian_billick,,0,0,,brian_billick,,0.0,0.0,0.0
2001,BUF,,gregg_williams,,gregg_williams,,0,0,,wade_phillips,,1.0,0.0,0.0
2001,CAR,,george_seifert,,george_seifert,,0,0,,george_seifert,,0.0,0.0,0.0
2001,CHI,,dick_jauron,,dick_jauron,,0,0,,dick_jauron,,0.0,0.0,0.0
2001,CIN,,dick_lebeau,,dick_lebeau,,0,0,,dick_lebeau,,0.0,0.0,1.0
2001,CLE,,butch_davis,,butch_davis,,0,0,,chris_palmer,,1.0,0.0,0.0
2001,DAL,,dave_campo,,dave_campo,,0,0,,dave_campo,,0.0,0.0,0.0
2001,DEN,,mike_shanahan,,mike_shanahan,,0,0,,mike_shanahan,,0.0,0.0,0.0
2001,DET,,marty_mornhinweg,,marty_mornhinweg,,0,0,,gary_moeller,,1.0,0.0,1.0
2001,GB,,mike_sherman,,mike_sherman,,0,0,,mike_sherman,,0.0,0.0,0.0
2001,IND,,jim_mora,,jim_mora,,0,0,,jim_mora,,0.0,0.0,0.0
2001,JAX,,tom_coughlin,,tom_coughlin,,0,0,,tom_coughlin,,0.0,0.0,0.0
2001,KC,,dick_vermeil,,dick_vermeil,,0,0,,gunther_cunningham,,1.0,0.0,0.0
2001,LA,,mike_martz,,mike_martz,,0,0,,mike_martz,,0.0,0.0,0.0
2001,LAC,,mike_riley,,mike_riley,,0,0,,mike_riley,,0.0,0.0,0.0
2001,LV,,jon_gruden,,jon_gruden,,0,0,,jon_gruden,,0.0,0.0,0.0
2001,MIA,,dave_wannstedt,,dave_wannstedt,,0,0,,dave_wannstedt,,0.0,0.0,0.0
